"";"volumeInfo.title";"volumeInfo.publisher";"volumeInfo.description";"volumeInfo.categories";"volumeInfo.language";"volumeInfo.authors"
"669";"Jean Prouvé par lui-même";"Editions Du Linteau";"À l'opposé des conceptuels, Jean Prouvé est un manuel pour qui faire et penser sont tout un : la main et la tête agissent ensemble dans un aller-retour continu de la machine à la planche à dessin. Il ne conçoit l'action que collective : l'atelier participe à la conception et aux résultats, techniques mais aussi financiers. En 1930, c'était trop de révolutions à la fois. Prouvé a donc été "" normalisé "" en 1954. Un demi-siècle plus tard, son témoignage bouscule encore bien des idées reçues.";"Architecture";"fr";"Jean Prouvé"
"670";"Maniere de Bien Bastir Pour Toutes Sortes de Personnes";NA;"Maniere de bien bastir pour toutes sortes de personnes, par Pierre Le Muet, ... reveue, augmentee et enrichie, en cette 2e edition, de plusieurs figures, de beaux bastiments & edifices, de l'invention & conduitte dudit sieur Le Muet, & autresDate de l'edition originale: 1647Sujet de l'ouvrage: Architecture -- France -- Ouvrages avant 1800Construction -- Ouvrages avant 1800Ce livre est la reproduction fidele d'une oeuvre publiee avant 1920 et fait partie d'une collection de livres reimprimes a la demande editee par Hachette Livre, dans le cadre d'un partenariat avec la Bibliotheque nationale de France, offrant l'opportunite d'acceder a des ouvrages anciens et souvent rares issus des fonds patrimoniaux de la BnF.Les oeuvres faisant partie de cette collection ont ete numerisees par la BnF et sont presentes sur Gallica, sa bibliotheque numerique.En entreprenant de redonner vie a ces ouvrages au travers d'une collection de livres reimprimes a la demande, nous leur donnons la possibilite de rencontrer un public elargi et participons a la transmission de connaissances et de savoirs parfois difficilement accessibles.Nous avons cherche a concilier la reproduction fidele d'un livre ancien a partir de sa version numerisee avec le souci d'un confort de lecture optimal. Nous esperons que les ouvrages de cette nouvelle collection vous apporteront entiere satisfaction.Pour plus d'informations, rendez-vous sur www.hachettebnf.fr""";"Architecture";"fr";"Pierre Le Muet"
"671";"Les hôtels particuliers de Paris";NA;"Il subsiste près de cinq cents hôtels particuliers dans Paris, quand on croyait en compter plus de deux mille au 17e siècle... Présent partout, l'hôtel parisien reste pourtant une exception si l'on songe au nombre d'immeubles de la capitale. Mais qu'importe la statistique, la rareté tient ici avant tout au caractère d'objets uniques de ces précieuses demeures. Savant mélanges de règles et de fantaisie, de convention et de génie, l'hôtel parisien est né de l'adaptation aux contraintes d'une grande ville et d'un rêve de domination. Il représente encore pour son propriétaire le moyen d'afficher une réussite éclatante tout en constituant un refuge intime, où il peut jouir de la ville sans en subir les désagréments, voir sans être regardé... C'est dans l'interprétation de ces ambitions contradictoires qu'il faut lire la puissance des commanditaires, le talent des meilleurs architectes, l'audace des grands décorateurs... et céder au plaisir de nous laisser, à notre tour, habiter par ces maisons hors du commun.";"Architecture";"fr";"Alexandre Gady"
"672";"Être architecte";"Centre des monuments nationaux/Monum, Editions du Patrimoine";"En 1998, le ministère de la culture et de la communication a lancé un vaste chantier de réflexion sur l'avenir de la profession d'architecte, souhaitant en encourager et en accompagner les mutations internes. Quatre groupes de travail, consacrés à l'exercice de la profession, à son champ d'activité réglementé, à sa représentation et à son inscription dans le contexte européen et international, ont été mis en place afin d'offrir un cadre à cette réflexion. L'ensemble des représentants de la profession, mais aussi leurs partenaires et les autres acteurs de l'architecture de la ville et de l'aménagement de l'espace, y ont trouvé un lieu de rencontres, de débats et de confrontations. Cet ouvrage rend compte des travaux menés par ces groupes, dans leur richesse et leur diversité, sans pour autant gommer les "" divergences constructives "" qui ont émergé au cours des débats. Il constitue une source importante d'informations et de réflexion pour les membres de la profession, pour leurs partenaires ainsi que pour tout citoyen attentif aux choses de l'architecture et de la ville. Il dresse un état des lieux des difficultés du métier d'architecte en France à la fin du XXe siècle et témoigne de la nécessaire refondation de la profession autour de quelques grands axes : adaptation de la notion d'acte architectural aux secteurs en développement, renforcement de la maîtrise d'œuvre des architectes, revalorisation de la profession...";"Architecture";"fr";"François Barré,Raphaël Hacquin,Florence Contenay"
"676";"Ville d'hier, ville d'aujourd'hui en Europe";NA;"Dépositaire d'une culture façonnée par plusieurs millénaires de pratique de la ville, l'Europe l'est aussi d'un gigantesque patrimoine fait de cités et de quartiers anciens, perçus comme de véritables monuments. Leur préservation, à laquelle s'attache une part croissante de l'opinion, constitue un défi économique, social et même culturel. A la différence des œuvres de musée, la ville et son architecte ne peuvent s'exclure de l'usage quotidien au profit du seul plaisir de la contemplation. Adaptation tout autant que conservation, la réappropriation est permanente. Elle impose l'exercice délicat, pour le bâti comme pour les espaces publics, de la conjugaison du passé au présent - de la ville héritée à la ville vécue. Cet ouvrage rassemble les textes des interventions prononcées lors des Entretiens du Patrimoine qui se sont déroulés en janvier 2000 au Théâtre national de Chaillot, sous la présidence de François Loyer. Conçues à l'origine pour débattre de questions essentiellement techniques, ces rencontres sont devenues le lieu véritable d'une réflexion théorique et doctrinale sur le rôle du patrimoine dans notre société en réunissant depuis plusieurs années des personnalités qui, par leurs points de vue et dans des domaines aussi divers que l'histoire, la philosophie, la sociologie, l'architecture, etc., révèlent d'autres types d'approche et de nouveaux axes de recherche.";"Architecture";"fr";"François Loyer"
"679";"Architecture de la raison";"Presses Polytechniques Et Universitaires Romandes";"Contient plusieurs exemples d'architecture genevoise.";"Architecture";"fr";"Isabelle Charollais,École polytechnique fédérale de Lausanne. Département d'architecture"
"684";"Le Bois dans l'architecture et la sculpture slaves";"Presses de L'Unesco";"A madeira na arquitetura e na escultura eslavas: Bielorussia, Bulgária, Polônia, Rússia antiga, Boemia e Moravia, Ucrânia e Iugoslávia.";"Architecture";"fr";"Andrzej Ryszkiewicz,G. Bocarov"
"687";"Les serres d'Auteuil et leur jardin";"Castelet";""" Les Serres d'Auteuil "" ont cent ans comme la Tour Eiffel ; elles sont parvenues jusqu'à nous, alors que d'autres monuments de cette époque riche en architecture de fer et de verre, tels le Jardin d'Hiver des Champs-Elysées ou même le Cristal Palace de Londres, ont disparu. Des documents historiques souvent inédits, accompagnés de coupures de presse, nous montrent la genèse de cet établissement horticole et sa vie journalière. Grâce à la technique et à la compétence des jardiniers, du premier Fleuriste Municipal au Jardin Botanique du XXe siècle, les arbres remarquables, les célèbres azalées, les chrysanthèmes et toutes les plantes tropicales, de l'orchidée à la rose de porcelaine, deviennent les acteurs d'un spectacle inoubliable sans cesse renouvelé au fil des saisons. Les nombreuses photographies, tant descriptives que poétiques, nous entraînent dans un univers magique, au cours d'un voyage exceptionnel, au-delà des limites des Serres et du Jardin Voilà un livre où chacun pourra cueillir une des "" Histoires de ce Centenaire "".";"Architecture";"fr";"Lucienne Deschamps,Annick Maroussy"
"688";"L&""Humanité de l&autre homme"" dans la pensée juive ancienne";"Brill Academic Pub";"This book analyzes how humanism (considered from an ethical point of view) was conceived of in different philosophical schools during the Hellenistic and early Roman period, and how these ideas were debated in ancient Jewish thought.";"Architecture";"fr";"Katell Berthelot"
"690";"Allain Provost, paysagiste, Paysages inventés, '64-'04";"Stichting Kunstboek";"L'auteur, architecte et urbaniste, retrace le parcours d'Allain Provost, créateur de paysages, et revient sur ses oeuvres les plus importantes : le parc de la Courneuve (1972-2000), le parc Diderot, La Défense (1981-1992), les jardins des présidences des républiques du Cameroun et du Gabon, le parc André Citroën, Paris (1986-1992), Eurotunnel Calais (1987), etc.";"Architecture";"fr";"Allain Provost,Michel Racine"
"691";"La querelle du fer";NA;"L'architecture gothique est-elle perfectible ? Aux environs de 1855, les Romantiques, s'appuyant sur le Moyen Age et le passé national, sont en passe de l'emporter sur les Classiques, mais le "" canon grec "", à la fois symbole de la démocratie et canon de la beauté, a la vie dure. L'Institut aussi. Le monde architectural est à la recherche d'un style qui soit enfin propre au XIXe siècle. Le fer peut-il engendrer cette architecture nouvelle ? Le XIXe siècle peut-il enfin sortir des copies et se trouver son style ? Tels sont les objets de la querelle.";"Architecture";"fr";"Eugcne Emmanuel Viollet Le Duc"
"692";"Histoire de Romainmôtier";"Editions Cabedita";"Analyse: Contient en plus de l'édition originale les événements marquants de 1928 à 1988. P. 317-329: liste des ecclésiastiques et magistrats ayant exercé leur activité dans la cité vaudoise (complètée pour les années 1928 - 1988).";"Architecture";"fr";"Maxime Reymond,R. Junod,Jean-Pierre Tuscher,Arnold Bonard,Henri Chastellain,Société de développement de Romainmôtier"
"694";"Paul Waltenspühl, architecte";"Infolio";"Paul Waltenspühl (1917-2001) est un protagoniste du renouveau de la scène architecturale suisse dans le second après-guerre. La grande maîtrise constructive de ses réalisations témoigne de sa double formation d'architecte et d'ingénieur en génie civil. Professeur à Lausanne (EPUL), puis à l'Ecole polytechnique fédérale de Zurich, il aborde au cours de sa carrière, seul ou en association - avec Georges Brera principalement -, tous les programmes constructifs. Par l'image et le texte, les auteurs présentent un choix d'œuvres illustrant les principaux domaines d'activité de Paul Waltenspühl: aménagements intérieurs, équipements sportifs, constructions scolaires, logements individuels et collectifs, bâtiments industriels et infrastructures. L'iconographie se compose de plans, de photographies d'archives en noir et blanc et de reportages photographiques documentant l'état actuel de ces constructions. Les témoignages d'anciens étudiants, collaborateurs et amis de Paul Waltenspühl font découvrir la personnalité et le parcours de l'architecte. Des clés de lecture sont apportées par des essais traitant de sa pratique constructive, de sa collaboration avec les artistes plasticiens, de son rapport aux questions de mobilier et, avec l'exemple des écoles de Lancy, du devenir de l'œuvre.";"Architecture";"fr";"Christian Bischoff,Paul Waltenspühl,Isabelle Claden,Erwin Oberwiler"
"695";"Le Livre et l'art";NA;"L'art et l'architecture, le livre et les bibliothèques, l'histoire : une cinquantaine de contributions reflètent les différents aspects des activités et des travaux de Pierre Lelièvre au cours de sa longue carrière. Celles-ci sont complétées par des témoignages plus personnels. Les allocutions prononcées lors d'une réception organisée par le Centre national du Livre, qui avait réuni autour de Pierre Lelièvre ses anciens collègues, ses amis, ses élèves, servent d'introduction à cet ouvrage.";"Architecture";"fr";"Pierre Lelièvre,Thérèse Kleindienst"
"699";"Cluny, 910-2010";NA;"910-2010: onze siècles se sont écoulés depuis la fondation de la grande abbaye bourguignonne de Cluny. À l'occasion de ce onzième centenaire, l'ouvrage Cluny 910-2010, onze siècles de rayonnement convie à la découverte de la prestigieuse histoire de l'abbaye et de son incomparable contribution à l'émergence de la culture européenne. Le concours d'une quarantaine de spécialistes, réunis sous la direction de Neil Stratford, dévoile le rôle majeur de Cluny et de ses dépendances en France, dans les Pays-Bas, en Angleterre, dans les pays germaniques (l'Empire), en Espagne du Nord et en Italie du Nord. Fruit de l'avance très marquée des études clunisiennes depuis quelques années, ce volume témoigne de l'influence spirituelle et artistique de l'ordre, de sa création au XIXe siècle, dans le monde occidental.";"Architecture";"fr";"Neil Stratford,Hartmut Atsma"
"700";"Architecture romaine d'Asie Mineure";NA;"Cet ouvrage constitue la première étude des édifices d'époque romaine du site de Xanthos anciennement connus ou récemment découverts. Il offre une description des principaux édifices de la cité et prend en compte de nombreux blocs sans attribution, remployés dans les constructions d'époque tardive mais qui permettent l'analyse technique et stylistique. Les chapitres de synthèse décrivent l'évolution des formes architecturales et celle des décors en montrant jusqu'à quel point l'analyse stylistique constitue un outil de datation fiable. L'analyse de l'architecture xanthienne permet de discerner deux phases principales d'aménagement, correspondant globalement à l'époque flavienne et à la fin du IIe s. p.C. Le cas de Xanthos est comparé à celui des autres villes de Lycie ainsi qu'aux grandes cités de l'Asie Mineure romaine. La confrontation montre la généralisation des tendances nouvelles de l'époque mais aussi la permanence de traits locaux. L'exemple de Xanthos est donc bien représentatif de l'architecture romaine en Asie Mineure.";"Architecture";"fr";"Laurence Cavalier"
"702";"Dessin d'architecture et infographie";"CNRS";"Réflexion ouverte sur la figuration contemporaine en architecture, cet ouvrage porte sur les évolutions qui bouleversent aujourd'hui la profession. Il analyse ce qui, dans les aspects les plus concrets de l'activité graphique, est affecté par le recours à l'informatique. En effet, les pratiques jusque-là reconnues comme l'essence même du savoir-faire dans le domaine sont mises à mal : le dessin d'architecture tend, sans retour possible semble-t-il, à s'affranchir de toute référence aux techniques du passé. Comment ne pas s'interroger alors - avec cette irruption de l'informatique dans le champ de la figuration architecturale - sur l'évolution des méthodes de travail, sur l'adaptation des procédures graphiques traditionnelles aux tâches du projet, sur l'appropriation culturelle de ces nouvelles techniques par les architectes ? Quelles libertés ou contraintes les logiciels dédiés à l'infographie vont-ils apporter ? Comment répondre en définitive au double défi que se lancent tradition et modernité ? Car, si les récents outils sont prometteurs, les pratiques les plus anciennes ont légué de puissantes procédures de description et d'appréhension des objets architecturaux qui peuvent à leur tour remettre en cause l'usage du dessin informatisé. A travers le prisme de ces différentes questions, Daniel Estevez dégage ici les enjeux de cette confrontation entre passé et présent, en examine l'ampleur et les conséquences pour le travail de l'architecte, en termes à la fois méthodologique, pédagogique culturel";"Architecture";"fr";"Daniel Estevez"
"704";"Joseph Hornecker";"Presses Universitaires de Nancy";"L'Suvre de Joseph Hornecker (1873-1942), architecte nancéien, qui fut membre de l'Ecole de Nancy, mais fut également un continuateur éclairé de la tradition académique, ce dont témoigne la reconstruction du Grand Théâtre de Nancy (place Stanislas), qu'il mena de 1907 à 1919.";"Architecture";"fr";"Archives modernes de l'architecture Lorraine"
"705";"Répertoire d'architecture traditionnelle sur le territoire de la Communauté urbaine de Montréal: Les Hôtels, les immeubles de bureaux";"Montréal : Le Service";"Grosso modo, deux grandes époques sont couvertes par ces cahiers: l'ère Victorienne (1845-1900) et l'ère Beaux-Arts (1900-1940 environ). Des fiches historiques accompagnent les photographies des édifices retenus en raison de leur exceptionnelle qualité architecturale.";"Architecture";"fr";""
"708";"L'architecture du fer";"Editions Champ Vallon";"Légèreté et transparence, rationalité et puissance des formes : l'architecture du fer fait aujourd'hui figure d'ancêtre reconnu de la modernité. Mais cet essor du métal, à travers une invention formelle infatigable et un goût du décor exubérant, participe aussi pleinement du concert foisonnant du XIXe siècle. Indissociable des grands programmes architecturaux apparus ou renouvelés par le développement de la société industrielle, l'architecture du fer est une des créations les plus originales du XIXe siècle, une de celles qui contribuent avec le plus de force à la définition de son imaginaire. En moins d'un siècle et demi, les essais empiriques des constructeurs, alliés ou concurrents des recherches physiques et mathématiques, doteront l'Europe d'un nouvel environnement architectural. Parmi les prototypes réussis, les serres du Jardin des Plantes (1834-1836) ou la gare de l'Est à Paris témoignent de la position d'avant-garde qu'occupait, en ce domaine, la France sous le second Empire. La fonte, le fer et l'acier, dont la résistance et l'élasticité se révèlent peu à peu aux bâtisseurs et aux théoriciens, vont se partager ou se disputer le premier rôle dans les ponts métalliques, ponts suspendus, serres, gares, marchés, grands magasins, églises, bâtiments industriels, sans oublier les expositions universelles, qui furent le lieu de toutes les audaces techniques et architecturales. Au triomphe du métal, fait écho pendant tout le siècle un débat passionné sur l'esthétique et la modernité du fer, qui oppose éclectiques et rationalistes : le fer est-il un simple moyen de construction ou la promesse d'une architecture nouvelle ? Avec l'Art Nouveau, le fer assurera l'union éphémère de la structure et de l'ornement, apothéose sans lendemain qui s'achève avec la Grande Guerre, l'avènement du béton armé et la radicalisation des doctrines esthétiques. Ce livre restitue la triple histoire du fer : celle d'une production industrielle et d'une technique de construction ; celle d'un matériau qui a permis et accompagné l'émergence de nouvelles typologies architecturales ; celle, enfin d'un objet de débat, au cœur de l'effervescente recherche de nouveaux langages stylistiques propres au XIXe siècle.";"Architecture";"fr";"Bertrand Lemoine"
"709";"Bibliographie Methodique Et Raisonnee Des Beaux-Arts L 1";"Hachette Livre - Bnf";"Bibliographie methodique et raisonnee des beaux-arts: esthetique et histoire de l'art, archeologie, architecture, sculpture, peinture, gravure, arts industriels, etc., etc. accompagnee de tables alphabetiques et analytiques. Livraison 1 / par Ernest Vinet, ...Date de l'edition originale: 1874-1877Sujet de l'ouvrage: Art -- Bibliographie analytiqueCe livre est la reproduction fidele d'une oeuvre publiee avant 1920 et fait partie d'une collection de livres reimprimes a la demande editee par Hachette Livre, dans le cadre d'un partenariat avec la Bibliotheque nationale de France, offrant l'opportunite d'acceder a des ouvrages anciens et souvent rares issus des fonds patrimoniaux de la BnF.Les oeuvres faisant partie de cette collection ont ete numerisees par la BnF et sont presentes sur Gallica, sa bibliotheque numerique.En entreprenant de redonner vie a ces ouvrages au travers d'une collection de livres reimprimes a la demande, nous leur donnons la possibilite de rencontrer un public elargi et participons a la transmission de connaissances et de savoirs parfois difficilement accessibles.Nous avons cherche a concilier la reproduction fidele d'un livre ancien a partir de sa version numerisee avec le souci d'un confort de lecture optimal. Nous esperons que les ouvrages de cette nouvelle collection vous apporteront entiere satisfaction.Pour plus d'informations, rendez-vous sur www.hachettebnf.frhttp: //gallica.bnf.fr/ark: /12148/bpt6k39241w";"Architecture";"fr";"Ernest Vinet"
"711";"Architecture Communale";"Hachette Livre - Bnf";"Architecture communale. Serie 1 / par Felix Narjoux, ...; avec une preface de M. Viollet-le-Duc...Date de l'edition originale: 1870Sujet de l'ouvrage: Architecture ruraleCe livre est la reproduction fidele d'une oeuvre publiee avant 1920 et fait partie d'une collection de livres reimprimes a la demande editee par Hachette Livre, dans le cadre d'un partenariat avec la Bibliotheque nationale de France, offrant l'opportunite d'acceder a des ouvrages anciens et souvent rares issus des fonds patrimoniaux de la BnF.Les oeuvres faisant partie de cette collection ont ete numerisees par la BnF et sont presentes sur Gallica, sa bibliotheque numerique.En entreprenant de redonner vie a ces ouvrages au travers d'une collection de livres reimprimes a la demande, nous leur donnons la possibilite de rencontrer un public elargi et participons a la transmission de connaissances et de savoirs parfois difficilement accessibles.Nous avons cherche a concilier la reproduction fidele d'un livre ancien a partir de sa version numerisee avec le souci d'un confort de lecture optimal. Nous esperons que les ouvrages de cette nouvelle collection vous apporteront entiere satisfaction.Pour plus d'informations, rendez-vous sur www.hachettebnf.frhttp: //gallica.bnf.fr/ark: /12148/bpt6k86624q";"Architecture";"fr";"Felix Narjoux"
"712";"L'architecture moderne á l'Expo 58";"Fonds Mercator";"Première exposition universelle depuis 1945, l'Expo 58 fut l'occasion rêvée d'attirer l'attention sur la prospérité de ta Belgique d'après-guerre. Le succès fut éclatant, 80 % de l'ensemble des Belges ayant visité l'Expo. Sur le plateau du Heysel, 42 millions de visiteurs ont découvert une architecture nouvelle pour un monde nouveau, dont l'Atomium reste le symbole le plus marquant. L'Expo a proposé un véritable éventail des multiples tendances du paysage architectural des années cinquante. Les dix-huit contributions de cet ouvrage, rédigées par des historiens de l'architecture belges et étrangers, abordent l'architecture moderne présentée à l'Expo 58. Les textes sont agrémentés d'images inédites. Cette publication a été coordonnée par des chercheurs du Département Architecture et Urbanisme de l'université de Gand. Mil De Kooning est professeur en histoire de l'architecture et dirige des recherches sur la construction d'après-guerre et le design en Belgique. Rika Devos est ingénieur-architecte et prépare une thèse de doctorat sur l'architecture de l'Expo 58.";"Architecture";"fr";"Rika Devos,Mil De Kooning,Geert Bekaert"
"715";"Geographie Du Departement de L'Isere (Ed.1876)";"Hachette Livre - Bnf";"Geographie du departement de l'Isere / par Adolphe Joanne,...Date de l'edition originale : 1876Sujet de l'ouvrage : Isere (France) -- GeographieIsere, Departement de l'Ce livre est la reproduction fidele d'une oeuvre publiee avant 1920 et fait partie d'une collection de livres reimprimes a la demande editee par Hachette Livre, dans le cadre d'un partenariat avec la Bibliotheque nationale de France, offrant l'opportunite d'acceder a des ouvrages anciens et souvent rares issus des fonds patrimoniaux de la BnF.Les oeuvres faisant partie de cette collection ont ete numerisees par la BnF et sont presentes sur Gallica, sa bibliotheque numerique.En entreprenant de redonner vie a ces ouvrages au travers d'une collection de livres reimprimes a la demande, nous leur donnons la possibilite de rencontrer un public elargi et participons a la transmission de connaissances et de savoirs parfois difficilement accessibles.Nous avons cherche a concilier la reproduction fidele d'un livre ancien a partir de sa version numerisee avec le souci d'un confort de lecture optimal. Nous esperons que les ouvrages de cette nouvelle collection vous apporteront entiere satisfaction.Pour plus d'informations, rendez-vous sur www.hachettebnf.frhttp://gallica.bnf.fr/ark:/12148/bpt6k39312k";"Architecture";"fr";"Adolphe Laurent Joanne"
"717";"Les Dessous Féminins";"Parkstone International";"Quelle est l’utilité des dessous féminins qui s’affichent aujourd’hui tant sur les affiches que dans les magazines, enveloppant des corps de femmes parfaites ? Pour beaucoup de femmes, les dessous sont achetés pour faire plaisir à l’autre, « l’homme ». Et pourtant, depuis la haute Antiquité, les femmes apparaissent toujours vêtues, cachant ces tissus qui dissimulent leur intimité. Le sous-vêtement féminin a donc une autre fonction que celle d’érotiser les corps. L’auteur, Muriel Barbier, s’appuyant sur une riche iconographie, explore trois aspects de la lingerie dans son rapport à la société, à l’intimité et à l’économie. Comment le sous-vêtement s’inscrit-il dans l’évolution de la femme ? La lingerie féminine est-elle l’expression d’une nouvelle liberté, ou bien suit-elle seulement la transformation de nos moeurs s’adaptant à chaque époque à un modernisme renouvelé ? Autant de questions traitées avec une rigueur scientifique et souvent avec humour. Le sous-vêtement méritait un grand ouvrage, même si aujourd’hui ces pièces d’étoffe sont de plus en plus petites.";"Architecture";"fr";"Muriel Barbier,Shazia Boucher"
"719";"Les villes de la puissance";NA;"De Los Angeles à Calcutta, l'espace public disparaît pour laisser la place à une privatisation sauvage. Comme si la seule chose que les citoyens des villes contemporaines avaient à mettre en commun était le rejet de toute communauté. Ni politique, ni religieuse, ni industrielle, la ville de demain peut-elle être projetée, construite ? Présente les projets de l'exposition La ville en éclats.";"Architecture";"fr";"Richard Scoffier"
"720";"Toulouse";"Somogy";"Le XIXe siècle constitua un véritable âge d'or de l'architecture par le nombre et l'intérêt des chantiers publics et privés, comme par l'importance des grands travaux d'urbanisme. L'ouvrage d'Odile Foucaud permet de mettre en évidence les caractères spécifiques de la création architecturale et du métier d'architecte à partir de l'exemple, particulièrement significatif à cette époque, de Toulouse et de la Haute-Garonne. Il inclut par ailleurs un important dictionnaire analytique et critique des quelque 300 architectes alors actifs dans ce département. On découvrira comment les architectes du siècle de l'industrie se sont inspirés des chefs-d'œuvre légués par l'histoire pour parrainer des créations puissamment novatrices, inventives et éloquentes qui célébraient le présent et proclamaient leur foi dans l'humanité, dans la science et dans le progrès.";"Architecture";"fr";"Odile Foucaud"
"724";"La lumière urbaine";"Le Moniteur Editions";"Les villes ne vivent pas que le jour. La durée de la nuit varie entre sept heures l'été et seize heures l'hiver, soit les deux-tiers d'une journée. C'est dire l'importance de l'éclairage public dans le quotidien des citadins. Jusqu'à une époque récente, celui-ci était conçu dans une perspective avant tout sécuritaire, liée à la seule circulation automobile. Aujourd'hui au contraire, de très nombreuses municipalités - parmi lesquelles Nantes, Caen ou Lyon, dont la politique de planification de l'éclairage est analysée dans ce livre - ont saisi le rôle déterminant de la lumière dans la qualité de vie dans les villes. Par delà ces aspects fonctionnels et esthétiques, l'éclairage public est un enjeu économique de taille: c'est un des postes de dépense le plus important de l'équipement des communes, et la maintenance des installations nécessite une organisation très performante. Ce livre explique les notions photométriques et techniques qui fondent tous les projets d'éclairage, puis décrit leur processus de conception et de réalisation : vocabulaire, étapes, intervenants, outils de représentation, méthodes de travail et de gestion... Mais on n'éclaire pas de la même manière une voie rapide ou une rue piétonne, un parc urbain ou un square de quartier, les abords d'un monument historique ou les façades d'un équipement collectif moderne. L'ouvrage aborde tous les types d'espaces publics et d'édifices susceptibles d'être mis en lumière. Pour chacun d'eux, les enjeux, les erreurs à éviter et les solutions couramment utilisées sont explicités. Le livre réunit également l'analyse très détaillée de trente-trois réalisations exemplaires récentes, qui concernent aussi bien l'aménagement urbain global, la mise en lumière d'espaces publics de tailles très diverses, l'éclairage extérieur d'édifices et le design de mobilier. Par le nombre et la fiabilité des informations, exemples et illustrations qu'il regroupe, cet ouvrage constitue un précieux recueil de références, élaboré par un professionnel de la lumière urbaine. Il s'adresse à tous les acteurs de l'aménagement des espaces publics, et constitue le complément indispensable du premier volume paru dans la même collection, consacré au mobilier urbain. L'auteur: Roger Narboni, concepteur lumière, a fondé l'agence Concepto en 1988, spécialisée dans la mise en lumière des espaces publics et la planification urbaine de l'éclairage.";"Architecture";"fr";"Roger Narboni"
"729";"Le cabinet de Pierre-Adrien Pâris";NA;"Architecte, concepteur de décors, archéologue Pierre-Adrien Pâris (Besançon, 1745-1819) est avant tout un grand dessinateur. Nommé dès 1778, par Louis XVI, dessinateur de la Chambre et du Cabinet du roi, autrement dit ""des Menus-Plaisirs"", il mène une brillante, carrière, aussi bien à la Cour, imaginant les décors des fêtes et des spectacles, qu'à Paris et en province, réalisant de nombreux décors intérieurs d'hôtels particuliers et des édifices public: La Révolution lui fait perdre ses charges royales (dessinateur du Cabinet du roi, architecte de l'académie royale de musique, architecte des Economats) et renoncer pour toujours à son métier d'architecte. Il se réfugie pour treize ans en Normandie. Séjournant à Rome de 18o6 à 1817, il est choisi par Napoléon 1er pour diriger par intérim l'Académie de France et pour assurer le transport des ""antiquités Borghèse"". Il revient alors à une passion de jeunesse, l'archéologie, en relevant tous les monuments antiques connus, dont ceux nouvellement dégagés. Malgré lui, il devient un archéologue respecté. Une autre facette essentielle du personnage retient l'attention: Pierre-Adrien Pâris est aussi un collectionneur averti de livres, de dessins surtout, de sculptures, de peintures et d'objets antiques. Retiré à partir de 1817 dans sa ville natale de Besançon, il consacre ses dernières années à aménager, rue Charles-Nodier, un petit ""muséum"", qu'il lègue à la Ville. Sa collection s'est formée, à Paris, d'œuvres de ses contemporains (Hubert Robert, Jean-Honoré Fragonard, François Boucher), et, à Rome, d'antiquités et de dessins de pensionnaires du palais Mancini et de la villa Médicis (Jean-Auguste-Dominique Ingres). Cette remarquable collection, unique aussi parce qu'elle est restée intacte, fruit de la vie contrastée de son propriétaire, reflet du goût d'un homme et de celui d'une époque, fait enfin l'objet d'une vaste rétrospective organisée par le musée des Beaux-Arts et d'Archéologie de Besançon et la bibliothèque municipale de Besançon.";"Architecture";"fr";""
"731";"L'art arabo-normand";"Edisud";"La culture islamique dans la Sicile médiévale montre avec quels raffinements le riche héritage artistique et culturel de la domination islamique sur l'île (Xe-XIe siècles) s'est vu absorbé et magistralement réinterprété trois siècles durant (XIe-XIIIe) par les artistes actifs dans les royaumes normands de Sicile, qui connurent leur apogée avec la grandiose époque de Roger Il. De Palerme à Syracuse, de Catane à Agrigente, les dix circuits de l'exposition entraînent le visiteur, à travers de stupéfiants paysages côtiers et montagneux, à la découverte de bourgs de châteaux, d'églises de jardins et d'anciennes mosquées christianisées. Ouvrages scientifiques de référence, les catalogues des Expositions Musée Sans Frontières sont en même temps de véritables guides de voyages thématiques. Richement illustrés, ils sont rédigés par des chercheurs et universitaires du pays à visiter et permettent ainsi de le découvrir ô travers le regard de ceux qui y vivent. Musée Sans Frontières réalise des expositions d'art, d'architecture et d'archéologie qui, plutôt que de rassembler des œuvres de différentes origines dans un espace clos présentent monuments sites et objets sur leur lieu d'origine, dans leur propre contexte historique et culturel.";"Architecture";"fr";"Musée Sans Frontières"
